name,mascot,city,state,primary_color,secondary_color,team_logo_image
Christ The King,Golden Lions,Lubbock,TX,,,
Christan,Bulldogs,Baytown,TX,,,
Christan,Warriors,Cypress,TX,,,
Christian,Panthers,Abilene,TX,,,
Christian,Crusaders,Azle,TX,,,
Christian,Chargers,Dallas,TX,,,
Christian,Eagles,Fort Bend,TX,,,
Christian,Cardinals,Fort Worth,TX,,,
Christian,Mustangs,Houston,TX,,,
Christian,Eagles,Lubbock,TX,,,
Christian,Mustangs,McKinney,TX,,,
Christian,Mustangs,Midland,TX,,,
Christian,Wildcats,New Braunfels,TX,#0D0918,#0D0918,
Christian,Crusaders,Round Rock,TX,,,
Christian,Lions,San Antonio,TX,,,
Christian,Warriors,The Woodlands,TX,,,
Christian ,Lions,Weatherford,TX,,,
Christian,Stars,Wichita Falls,TX,,,
Christian Heritage,,,OK,,,
Christian Heritage,Sentinels,Longview,TX,,,
Christian Homeschool,Warriors,Tomball,TX,,,
Christian School,,,OK,,,
Christoval,Cougars,Christoval,TX,,,
Church Point,Bears,Church Point,LA,,,
Churchill,Chargers,San Antonio,TX,,,
Cigarroa,Toros,Laredo,TX,,,
Cinco Ranch,Cougars,Katy,TX,,,
Cisco,Lobos,Cisco,TX,,,
Cistercian,Hawks,Irving,TX,,,
City View,Mustangs,Wichita Falls,TX,,,
Claremore,,,OK,,,
Claremore (SEQ),,,OK,,,
Clarendon,Broncos,Clarendon,TX,#000000,#FFFFFF,
Clark,Cougars,San Antonio,TX,,,
Clarksville,Tigers,Clarksville,TX,,,
Classen Sas AT Ne,,,OK,,,
Claude,Mustangs,Claude,TX,,,
Clear Brook,Wolverines,,TX,,,
Clear Creek,Wildcats,,TX,,,
Clear Falls,Knights,,TX,,,
Clear Lake,Falcons,,TX,,,
Clear Springs,Chargers,,TX,,,
Cleburne,Yellow Jackets,Cleburne,TX,#000000,#D4AF37,
Clemens,Buffaloes,Schertz,TX,,,
Clements,Rangers,Fort Bend,TX,,,
Cleveland,,Cleveland,TX,,,
